year,version,area_ha,tipo_region,nome_region,sigla_region
2023,0-4-12-spt-4,2475.897331835928,estado,Ceará,CE
2024,0-4-12-spt-4,3361.196353228756,estado,Ceará,CE
2025,0-4-12-spt-4,4315.014734179681,estado,Ceará,CE
2019,collection_10_1,0.3347456298828125,estado,Espírito Santo,ES
2020,collection_10_1,0.3347456298828125,estado,Espírito Santo,ES
2021,collection_10_1,0.5021184448242187,estado,Espírito Santo,ES
2022,collection_10_1,0.5858049255371094,estado,Espírito Santo,ES
2023,collection_10_1,0.5858049255371094,estado,Espírito Santo,ES
2024,collection_10_1,2.259737908935547,estado,Espírito Santo,ES
2016,0-4-12-spt-4,121.35730640258772,estado,Minas Gerais,MG
2017,0-4-12-spt-4,424.7099713256827,estado,Minas Gerais,MG
2018,0-4-12-spt-4,1104.6145459655777,estado,Minas Gerais,MG
2019,0-4-12-spt-4,1235.213610986329,estado,Minas Gerais,MG
2020,0-4-12-spt-4,1380.032583776857,estado,Minas Gerais,MG
2021,0-4-12-spt-4,1823.7874791442891,estado,Minas Gerais,MG
2022,0-4-12-spt-4,5886.795767254613,estado,Minas Gerais,MG
2023,0-4-12-spt-4,9207.977260479687,estado,Minas Gerais,MG
2024,0-4-12-spt-4,14148.449762097129,estado,Minas Gerais,MG
2025,0-4-12-spt-4,16258.129073681592,estado,Minas Gerais,MG
2018,0-4-12-spt-4,104.83031432495078,estado,Paraíba,PB
2019,0-4-12-spt-4,104.6527931579586,estado,Paraíba,PB
2020,0-4-12-spt-4,261.66154904784906,estado,Paraíba,PB
2021,0-4-12-spt-4,380.5097255248999,estado,Paraíba,PB
2022,0-4-12-spt-4,812.0431567749021,estado,Paraíba,PB
2023,0-4-12-spt-4,1091.4836288269066,estado,Paraíba,PB
2024,0-4-12-spt-4,1330.800896350101,estado,Paraíba,PB
2025,0-4-12-spt-4,1353.8807492736848,estado,Paraíba,PB
2019,collection_10_1,14.342551135253894,estado,Paraná,PR
2020,collection_10_1,15.166837744140611,estado,Paraná,PR
2021,collection_10_1,15.578977258300766,estado,Paraná,PR
2022,collection_10_1,15.74383334960936,estado,Paraná,PR
2023,collection_10_1,16.073544085693342,estado,Paraná,PR
2024,collection_10_1,27.58925421142578,estado,Paraná,PR
2018,0-4-12-spt-4,1.7692038574218756,estado,Pernambuco,PE
2019,0-4-12-spt-4,44.67229620971688,estado,Pernambuco,PE
2020,0-4-12-spt-4,44.76119953613291,estado,Pernambuco,PE
2021,0-4-12-spt-4,539.2276366210967,estado,Pernambuco,PE
2022,0-4-12-spt-4,747.0017813842785,estado,Pernambuco,PE
2023,0-4-12-spt-4,2425.8020447204567,estado,Pernambuco,PE
2024,0-4-12-spt-4,2787.9452511291297,estado,Pernambuco,PE
2025,0-4-12-spt-4,3098.5271765991,estado,Pernambuco,PE
2016,0-4-12-spt-4,348.991559863281,estado,Piauí,PI
2017,0-4-12-spt-4,535.6724341552743,estado,Piauí,PI
2018,0-4-12-spt-4,862.0370608886717,estado,Piauí,PI
2019,0-4-12-spt-4,2019.3512302490249,estado,Piauí,PI
2020,0-4-12-spt-4,2204.3304066467304,estado,Piauí,PI
2021,0-4-12-spt-4,2659.258064233428,estado,Piauí,PI
2022,0-4-12-spt-4,2933.454823406991,estado,Piauí,PI
2023,0-4-12-spt-4,3620.705582086192,estado,Piauí,PI
2024,0-4-12-spt-4,4626.2135190429735,estado,Piauí,PI
2025,0-4-12-spt-4,4946.950464593505,estado,Piauí,PI
2017,0-4-12-spt-4,247.01529075317336,estado,Rio Grande do Norte,RN
2018,0-4-12-spt-4,313.619920483398,estado,Rio Grande do Norte,RN
2019,0-4-12-spt-4,319.6750166259764,estado,Rio Grande do Norte,RN
2020,0-4-12-spt-4,324.74883803710907,estado,Rio Grande do Norte,RN
2021,0-4-12-spt-4,341.2169456603997,estado,Rio Grande do Norte,RN
2022,0-4-12-spt-4,913.8037720581052,estado,Rio Grande do Norte,RN
2023,0-4-12-spt-4,2143.65292545167,estado,Rio Grande do Norte,RN
2024,0-4-12-spt-4,3675.5729141845695,estado,Rio Grande do Norte,RN
2025,0-4-12-spt-4,4350.23625353393,estado,Rio Grande do Norte,RN
2016,collection_10_1,0.3175607849121094,estado,Rio Grande do Sul,RS
2017,collection_10_1,1.429022576904297,estado,Rio Grande do Sul,RS
2018,collection_10_1,1.5878020141601563,estado,Rio Grande do Sul,RS
2019,collection_10_1,2.463642364501953,estado,Rio Grande do Sul,RS
2020,collection_10_1,4.055846075439454,estado,Rio Grande do Sul,RS
2021,collection_10_1,4.373635992431642,estado,Rio Grande do Sul,RS
2022,collection_10_1,4.373635992431642,estado,Rio Grande do Sul,RS
