Brasil,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
1. Forest,_(* 620533523_),_(* 617142018_),_(* 613057826_),_(* 608667531_),_(* 604715949_),_(* 601549094_),_(* 598131975_),_(* 594290697_),_(* 590556608_),_(* 586126677_),_(* 581463553_),_(* 577663202_),_(* 574104105_),_(* 570549843_),_(* 567174687_),_(* 564559300_),_(* 561220027_),_(* 557724732_),_(* 553260861_),_(* 548916001_),_(* 545750363_),_(* 543328343_),_(* 541523179_),_(* 539495168_),_(* 538120325_),_(* 537057539_),_(* 535974359_),_(* 534420296_),_(* 532644551_),_(* 531072026_),_(* 529425753_),_(* 527898492_),_(* 526638842_),_(* 525346565_),_(* 523188322_),_(* 520927330_),_(* 518241835_),_(* 514776102_),_(* 511242106_),_(* 509081748_),_(* 505743963_),
2.5. Hypersaline Tidal Flat,74370.127163812373,74386.646237280438,74305.959950286997,75137.305454931833,72392.001178503648,71102.830363403467,70496.211874719418,70539.75899255379,72645.548663360678,73207.293789630203,72958.399114892643,71844.927308374099,71766.988995361404,73592.826289825563,74377.548740264931,75466.417797180227,75312.956562097272,74335.970893799022,73629.126302795601,73363.021082006948,73829.515702301054,74160.193224798728,73112.047865820379,71093.712000848449,70707.309583917318,70556.93849361586,68456.803769055361,65011.20940701323,62707.984164923437,61109.829580176163,60585.479262030451,60724.984906085578,59865.89825737341,58281.413393396258,56277.186565405529,55372.843876318511,54958.525597699183,53567.102501275796,52048.720768719686,50038.273954315446,46998.276865057531,
2.6. Rocky Outcrop,1874190.1769063529,1863221.7725794122,1862485.5130945372,1862176.0901577701,1863282.2685812686,1863884.0573200805,1864318.5611737361,1864394.5787389046,1864351.86332995,1863740.6217225343,1862780.2312383729,1862682.8788478642,1863114.9927331661,1863893.5355884754,1864919.8376002682,1865508.5315696707,1865836.4678767754,1867139.4194231245,1867185.1682871992,1867857.1932630481,1867985.3330507495,1867643.1592409941,1866906.8640746505,1865958.8316342195,1865982.8506868074,1865599.5997970975,1864946.5933208114,1865284.2800710564,1866364.7577610109,1868455.0753092661,1868921.8242641296,1868076.4054960806,1868704.7801487285,1868605.8714095429,1869202.2593985889,1870231.8582678814,1870264.3312602527,1871170.2862588677,1873656.2902571291,1876996.2009276014,1885597.356872018,
2.7. Herbaceous Sandbank Vegetation,676951.75308737229,677444.11627224146,669268.98525646841,659253.23173482693,652996.69393871666,648236.56095900363,648698.4850603526,649751.61477053026,650861.16975948343,650256.18090872117,645305.17471971666,644305.27478785976,644519.18518092018,645085.12445111701,647898.06225971878,651105.81906941219,654126.93733576406,652969.31617287791,652682.5575971409,660984.93632716616,664156.05771567998,663427.70506795426,663518.76089135534,665441.54109386471,663574.06200229516,658273.55165050121,655078.35485718842,655098.10661803198,655613.9617160398,658419.24236656132,657682.75380247599,656118.17368477385,651974.33191213734,649644.27345508325,645232.51420173969,641008.82027130271,638639.25763744081,634724.22302294534,628294.09501751885,624005.00495052629,626098.43328098278,
3. Farming,_(* 150230306_),_(* 154459085_),_(* 159231367_),_(* 163854374_),_(* 167967638_),_(* 171579477_),_(* 175198203_),_(* 179230065_),_(* 183139081_),_(* 187778582_),_(* 192587312_),_(* 196560531_),_(* 200081685_),_(* 203951697_),_(* 207293132_),_(* 210310403_),_(* 213687184_),_(* 216901270_),_(* 221472082_),_(* 225682826_),_(* 228944945_),_(* 231408330_),_(* 233359895_),_(* 235552776_),_(* 237099640_),_(* 238578871_),_(* 239922277_),_(* 241743748_),_(* 243821166_),_(* 245474363_),_(* 247412263_),_(* 249060876_),_(* 250526053_),_(* 251903675_),_(* 254275439_),_(* 256691346_),_(* 259866836_),_(* 263401075_),_(* 267280940_),_(* 269779857_),_(* 273314584_),
3.1. Pasture,103997458.34575118,112200484.56318542,117252091.88247204,121023814.37224925,124022870.42909156,126556747.10565816,128780920.05306642,131934640.56743841,134728261.01720029,137876447.65923962,141289091.12967405,144249927.20457458,146887759.76316777,149923244.10776278,152325713.063328,154362712.5857479,156246323.89091006,158012196.78224805,160802190.94085574,162468718.23020312,163819833.5237681,164289223.96668935,164580749.84003419,164791548.97464243,164747904.40168437,164663266.87939653,164578215.994297,164530670.05363399,163941365.30258107,163327082.12046692,163108532.59395197,162913497.10964745,162360389.73513502,162227239.70352554,162402368.08204281,162491386.77964363,163122969.73189455,164167067.04290837,165467617.61461228,165447035.04530641,165617358.54030749,
3.2. Agriculture,18555450.161564175,19146374.287728835,20819010.572834257,22334427.446991194,23849855.692784403,25570943.741019368,27683397.069937307,28425094.215873305,29471657.915753651,30342300.294316474,31111472.86077714,32057004.382190313,32645115.769506831,33276553.384246942,34241473.403980367,35288774.918128222,36504522.432900697,37476083.796271838,38308157.948706694,40305323.617941268,42317861.879137576,44302851.407544367,45865655.238093227,47302706.078986511,48486777.898314469,49479126.063905902,50206035.261413924,51328662.254121922,53353782.424599975,55526507.225817025,57473391.070458747,59006953.213972829,60666414.600141086,61297854.905296229,62147935.520231918,62980918.110051282,63429596.837205209,63971988.505310461,64564265.901151434,65206580.813101061,66511155.98177094,
3.3. Forest Plantation,1875445.426249075,2093490.9552026778,2292123.6323747206,2686127.9360994007,2841222.1086056726,2968526.7637791364,3198293.0888025314,3340737.5956487879,3475692.2519652341,3618773.9251881521,3711008.0423326665,3771437.9645691435,3895290.2493837848,3953811.5813889233,4025340.9127277159,4115149.6721533481,4162429.4927106765,4241782.6584726507,4344247.3429258401,4507484.601347751,4729222.5785191301,4966834.0032840688,5255548.0489541395,5620722.1167779826,6091818.7512465501,6564545.0715643568,6959974.8221715307,7430501.0497327717,8022024.4365532082,8335070.6973107429,8604314.703002641,8778903.36172802,8939636.6463579088,9075739.9254553095,9255749.1113213543,9416319.3952471577,9590058.4836646263,9704706.9230494816,9799791.1558895167,9899074.2736279871,9875749.9459864646,
3.4. Mosaic of Uses,25801952.697765812,21018735.897614326,18868141.862657871,17810005.145253237,17253689.960908383,16483259.690552529,15535593.469297254,15529592.874249576,15463470.701696236,15941060.261556104,16475740.746112987,16482161.730079673,16653519.984798605,16798088.887658644,16700605.616179418,16543765.974007387,16773908.587098973,17171207.543099422,18017486.667505641,18401300.129095163,18078027.183006432,17849421.545467719,17657942.567463242,17837799.184920523,17773138.99449956,17871933.344638079,18178051.671976194,18453915.11938614,18503994.557959806,18285703.767256897,18226024.812163956,18361523.258341942,18559612.998254213,19302840.667041648,20469386.749122504,21802722.618545778,23724211.326116789,25557313.136889875,27449265.944034815,29227167.450127535,31310320.508279029,
4. Non vegetated area,_(* 3626429_),_(* 3532981_),_(* 3481399_),_(* 3526940_),_(* 3572257_),_(* 3603949_),_(* 3680338_),_(* 3765328_),_(* 3829222_),_(* 3907443_),_(* 4024791_),_(* 4112383_),_(* 4184173_),_(* 4268880_),_(* 4371897_),_(* 4462072_),_(* 4527659_),_(* 4605544_),_(* 4691939_),_(* 4731309_),_(* 4782223_),_(* 4827504_),_(* 4869604_),_(* 4934518_),_(* 4991330_),_(* 5022425_),_(* 5057382_),_(* 5124096_),_(* 5226805_),_(* 5325107_),_(* 5409124_),_(* 5493863_),_(* 5557117_),_(* 5616592_),_(* 5681889_),_(* 5783063_),_(* 5895420_),_(* 6019665_),_(* 6149720_),_(* 6291998_),_(* 6374980_),
"4.1. Beach, Dune and Sand Spot",527661.60129689763,523818.61243731069,533565.50361433486,537616.04167317413,537116.62646863493,533082.9252828256,527868.22714664857,529489.1790559201,528131.84125304571,525307.8242367655,533735.91825060186,539939.41391923733,530842.86677102291,524783.79279293993,523716.83399707056,522162.93862652383,520169.95924347057,522696.78679879225,520928.13136419922,509547.67867477483,502278.44190612121,503013.06233322073,497448.7961008047,489280.19466797635,489694.34041070763,494576.71782443696,501463.25196231413,510796.6378928764,511942.84321610082,511928.06378328707,509161.33630550408,508357.84850107355,504035.03784717323,500483.76130514545,493991.14919983444,489061.89216958237,482067.52904146165,475687.93054729776,475399.09612481087,474248.67834302009,469129.17631656391,
4.2. Urban Area,1908481.3055037213,1984425.1136419848,2030403.6401190793,2100645.8339976743,2168866.3323425325,2237805.2778068786,2317688.6988284769,2397870.8947847765,2475059.955731533,2551263.13991524,2631356.9368333737,2700721.330843091,2773146.8495317493,2845894.4688157295,2925832.05109399,2999400.7709746896,3070577.4620180437,3131583.7974520926,3189798.7627662215,3240140.4155584238,3288608.5912361592,3336453.1686970866,3384029.5038145301,3439323.3837436032,3493252.4402228259,3551226.6691222601,3614303.0488280109,3686355.5147366482,3760054.1965824943,3828913.1076694173,3891319.032096264,3949974.858649923,4002627.7281569,4053033.9416529443,4098375.351916519,4145009.0007607159,4190343.1035327176,4238495.0266939569,4286813.892983783,4363140.7741514416,4439128.6592223402,
4.3. Mining,65634.342789947652,85033.175152930053,102824.56149174184,125006.00575867281,152375.36973112129,173055.37887610364,182376.35053563723,194003.02399598851,208200.30352260522,217902.29821678923,222495.15003517983,227093.13514500097,233527.21471521578,240054.47332527433,244210.30849426275,247777.05528682296,249681.6017676522,252625.46202705792,256980.9879133674,260624.77513382002,265368.71276329306,268849.60071063257,275714.74648740905,281332.97208664555,286272.77287506149,291644.36472580611,299638.05919384869,306341.00623766583,312796.43901130999,322669.44448694465,333685.94358721218,345407.70171908411,358671.53590093914,371291.92346445844,387582.04313931306,436313.0613036133,471783.74932013033,505385.04508088477,537088.95081900177,569065.46879641421,606769.09236333228,
4.4. Photovoltaic Power Plant (beta),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124.0429684936491,2328.1761785583585,4780.1207780212671,6667.201715771489,7542.0360944397144,10902.196873553527,18414.381799255527,27842.603580352978,37660.983182196185,43259.254929187249,
4.5. Wind Farm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4783.0109362976018,7789.9886181030179,9222.419394396964,14718.686952264414,17276.450856182873,20039.800126000984,23173.894834515413,25577.112174969527,27464.010337158248,28678.998492529325,
4.6. Other non Vegetated Areas,1124652.2096960139,939704.10839951679,814606.2296927548,763672.43275084801,713898.70917911897,660006.3019704225,652404.97761832923,643965.11403311254,617830.19383369794,612970.29731706588,637203.42170162953,644629.73452752654,646656.76248242788,658147.71647694637,678137.93911013799,692731.93705112266,687230.25314428692,698638.16158593132,724231.30861321394,720996.31285871554,725967.66925703723,719188.26109484246,712411.58047411439,724582.4333210875,722111.21820233727,684977.88015378383,641977.99022134987,620603.37775219081,642011.75617471279,661597.28402249748,674957.8734272822,684216.13549185125,681664.99743971566,677780.70989198016,680554.64779307228,687861.53986912221,720284.06863129255,758509.23119996954,796999.16609509813,820418.8344895565,788014.91634631902,
5. Water,_(* 20937930_),_(* 19691171_),_(* 20149155_),_(* 21976923_),_(* 21637964_),_(* 20421046_),_(* 21753522_),_(* 21319556_),_(* 21360502_),_(* 19965625_),_(* 20943396_),_(* 20475090_),_(* 20880492_),_(* 20075232_),_(* 20773146_),_(* 19333268_),_(* 18641127_),_(* 19431493_),_(* 19004377_),_(* 19115164_),_(* 19339532_),_(* 20265478_),_(* 20379904_),_(* 20101036_),_(* 19404041_),_(* 19330884_),_(* 20320467_),_(* 18958016_),_(* 18791430_),_(* 19614954_),_(* 18603888_),_(* 18672452_),_(* 18730542_),_(* 19721819_),_(* 18776421_),_(* 18340320_),_(* 18415203_),_(* 19472805_),_(* 19156951_),_(* 18380503_),_(* 19293615_),
"5.1. River, Lake and Ocean",20913047.428977471,19664403.258207161,20119650.327706531,21945962.671518277,21605980.516617682,20388322.566348378,21720454.622401487,21286294.126225278,21327576.895042162,19932701.730147403,20910102.316939984,20442088.73359431,20847047.460402783,20041019.541799892,20737779.440731611,19295519.848911639,18599877.900067452,19388490.591604192,18959319.624180242,19069232.231517073,19293277.192642942,20219261.122414548,20333000.456545331,20051700.640492387,19352007.615544014,19276692.792405069,20262232.082286458,18896753.616070013,18727940.048761223,19549773.566902921,18536229.985833529,18601602.498809274,18657725.59736266,19647455.245452452,18700716.129663613,18266287.830351245,18341735.22049446,19399423.216964979,19081957.035766535,18305547.927182216,19215107.453691486,
5.2. Aquaculture,24883.151987476042,26768.303522156522,29505.058677430246,30960.627487812028,31983.491862134877,32723.910201496867,33067.508222273405,33262.415096180521,32925.173657886997,32923.935652870321,33294.17556739015,33001.295626704326,33444.749766169647,34212.939422321964,35366.724493653826,37748.905836323094,41249.826710964131,43003.253646254059,45057.600751545549,45932.22193924107,46255.734321076918,46217.773274183935,46903.906736243764,49335.734611420696,52034.252620161489,54191.227167243553,58235.797341541554,61262.717177437065,63490.279024397227,65181.1928675733,67658.16220825343,70849.967967683246,72816.864285517324,74364.563474628798,75705.398296961619,74032.718676185366,73468.615076685528,73382.601002283613,74994.426487659963,74955.367142438918,78507.758942274042,
6. Not Observed,_(* 3619_),_(* 3565_),_(* 3469_),_(* 3355_),_(* 3279_),_(* 3201_),_(* 3120_),_(* 3009_),_(* 2939_),_(* 2775_),_(* 2601_),_(* 2533_),_(* 2462_),_(* 2336_),_(* 2247_),_(* 2195_),_(* 2049_),_(* 1915_),_(* 1791_),_(* 1754_),_(* 1706_),_(* 1664_),_(* 1634_),_(* 1610_),_(* 1561_),_(* 1521_),_(* 1480_),_(* 1462_),_(* 1475_),_(* 1483_),_(* 1479_),_(* 1485_),_(* 1470_),_(* 1425_),_(* 1364_),_(* 1355_),_(* 1331_),_(* 1322_),_(* 1290_),_(* 1270_),_(* 1242_),
Total Geral,_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),_(* 850644939_),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
