CERRADO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
1. Forest,_(* 132922893_),_(* 129761859_),_(* 127990183_),_(* 126001680_),_(* 124153003_),_(* 122549127_),_(* 121063838_),_(* 119520401_),_(* 118029798_),_(* 115924211_),_(* 114156620_),_(* 112826825_),_(* 111615894_),_(* 110539622_),_(* 109501831_),_(* 108413282_),_(* 107173671_),_(* 106003315_),_(* 104582196_),_(* 103113232_),_(* 102034363_),_(* 101274214_),_(* 100679648_),_(* 100005392_),_(* 99417160_),_(* 98799105_),_(* 98249980_),_(* 97402289_),_(* 96498158_),_(* 95706864_),_(* 95012006_),_(* 94458386_),_(* 93958034_),_(* 93457151_),_(* 92761897_),_(* 91863080_),_(* 91143496_),_(* 90042429_),_(* 88769392_),_(* 88076398_),_(* 86197778_),
2.3. Grassland Formation,9101330.434274517,8695438.9717749208,8312392.3083547167,8232211.6055418923,8141248.7426902726,8010816.7666274533,7876455.7361053722,7769741.5490602059,7677010.336770826,7582154.4775415817,7507585.6722551696,7427219.2717370335,7390322.3606316317,7370333.7577497661,7362647.1977062663,7395388.0058236299,7402229.3990197303,7384187.0419982625,7355544.4046805473,7304039.6830332829,7269225.1533466186,7232851.8527356694,7187806.791484437,7137337.5068871872,7087404.8876128718,7029877.9275575839,6983923.2576728445,6930327.7283541635,6892913.5702269841,6871052.4423381472,6841813.2211461728,6803022.5959591242,6749297.4802963827,6691053.6723520197,6592726.1741729816,6457803.9051882727,6282571.4321273183,6081568.3828529948,5874377.593473033,5706581.0892437994,5511238.1972419918,
2.4. Herbaceous-Shrub Mosaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5. Hypersaline Tidal Flat,8604.2264221678524,8591.9908345336116,8584.6681079711161,8614.4851716002613,8371.2351551085994,8168.2606645506712,7955.0175154357776,7901.9442348754283,7883.9087798522041,7984.4990014159421,8251.8487963744701,8024.4624421874332,8108.760372534105,8796.0975137206351,8963.9748380492038,9071.1193732909087,9031.1942507689728,8763.4555861754925,8552.1618382629094,8679.4230490234022,8853.0382621093067,8927.0709110106745,8806.5028502013283,8623.9639662840946,8568.3387561644831,8553.8719668395461,8325.691189251691,7757.2540106688984,7385.490399731475,7260.1902814270406,7207.9503694702553,7081.0491442383382,6814.0122672363486,6615.8217076660321,6671.8207220825234,6580.1964638793734,6524.1139603454358,6241.395296997086,6067.0728862427004,5664.3116692566064,5380.0565889770332,
2.6. Rocky Outcrop,1052957.9583899004,1053130.7219046466,1053578.7741519981,1054046.0370262237,1054268.4187706267,1054428.263372604,1054508.1291051297,1054697.7044389376,1054748.6336632841,1054867.9032056243,1055002.7436526644,1055100.4838905653,1055303.5640553294,1055457.4469059033,1055577.0719308858,1055802.0619290357,1055894.7865362433,1055943.7931482729,1055856.6367086556,1055883.9054710336,1055862.7225510748,1055927.486952899,1055925.4282408999,1055879.0170718015,1055908.572945605,1056014.6144952693,1056059.4069761848,1056215.7696989342,1056571.444824856,1056762.2639095853,1056990.2198672509,1057113.7490764724,1057292.3135676088,1057486.6458089715,1057621.3086054383,1057903.0418866039,1058078.6409134837,1058453.2344212178,1058900.6064972559,1059010.5512845793,1059521.7706007969,
2.7. Herbaceous Sandbank Vegetation,235007.3579870181,235039.5084185364,235509.26879648841,235346.13770543711,235136.6175139946,235124.94922131271,234564.12445268419,233761.8163714624,233905.3611441445,234246.65849307069,234134.72535436301,233688.45710319019,233237.13332164759,233514.78397045709,234157.3709162173,234259.15224221861,234301.63805826541,234414.39269897461,234427.72204425061,234539.9747930961,234399.62323793821,234164.53838499001,234032.85698796221,233857.10499355951,233712.8672696767,233569.08853580209,232945.021285617,232024.58770700049,231107.96413015519,230489.41124306171,230980.78246551711,231533.38346370199,231946.74788007271,232476.82760898641,232749.71693269999,233177.40418278219,233359.27068562651,233640.77488004789,233779.68905015831,233364.2988049493,233401.54673514311,
3. Farming,_(* 46697452_),_(* 50660267_),_(* 53091974_),_(* 55241656_),_(* 57268444_),_(* 59046586_),_(* 60657370_),_(* 62325127_),_(* 63931243_),_(* 66104438_),_(* 67960111_),_(* 69411809_),_(* 70615276_),_(* 71748225_),_(* 72828030_),_(* 73915241_),_(* 75145634_),_(* 76232763_),_(* 77647625_),_(* 79142996_),_(* 80239668_),_(* 81009827_),_(* 81676475_),_(* 82401252_),_(* 83028810_),_(* 83723666_),_(* 84282375_),_(* 85225294_),_(* 86227028_),_(* 87062848_),_(* 87818226_),_(* 88444940_),_(* 89010469_),_(* 89546415_),_(* 90325573_),_(* 91299522_),_(* 92194028_),_(* 93346683_),_(* 94791399_),_(* 95726690_),_(* 97938444_),
3.1. Pasture,36582162.879297026,40544675.224115513,42397158.359758928,43896719.216388822,45269733.411762513,46358080.959868051,47241526.031559967,48544597.809867263,49655933.871746682,51080033.684840806,52359373.468683779,53246662.291997544,53969900.51261618,54601470.645106658,55068959.888580278,55525195.501667835,55994338.142274305,56345342.193686746,56886084.142916515,56999898.615268163,57058090.992111862,57015241.332075953,56958886.286199413,56865868.779413827,56732162.228429452,56719405.577420093,56678516.271100447,56607810.482064903,56318270.833123907,56006485.493830115,55736413.204070933,55444687.841245979,55046743.706163459,54844022.654241413,54627124.393525854,54343305.011172682,54228298.03802599,54150259.245238908,53978126.51756411,53521081.49763044,53911161.194980219,
3.2. Agriculture,5033721.4978998192,5127528.6875235196,6002823.4666479575,6726721.0787511906,7488539.4935125951,8372365.2112576272,9626444.2800324801,9989681.2869516015,10487870.910487913,11015865.166959532,11438730.756133806,12041829.467891047,12447660.064225387,12903283.891888611,13473759.108813832,14073706.425456831,14750645.881849319,15322239.640917134,15862293.34601092,17226500.609062191,18400415.323414177,19252942.916653346,19813373.866085984,20331902.145126298,20788944.292667385,21269540.74869515,21621886.360157385,22273682.768100671,23078944.521474574,24060582.040974826,24957996.473690446,25695606.764825035,26484201.437888775,26908571.598513041,27322083.107659694,27745328.226913456,27964378.122345198,28343292.407060426,28717838.9184306,29169085.341141328,29690347.790147822,
3.3. Forest Plantation,634121.21291529434,659860.1008293319,703422.2405299301,910721.67686712416,969483.14145948121,1042635.334942634,1179899.4774426762,1233212.4033091806,1277086.552514344,1317554.5189081789,1343777.4137791293,1348774.826050326,1383314.4460395048,1388683.5648833155,1396031.4251928336,1407527.2152624121,1409591.8061555163,1423553.8148758654,1436685.7545230705,1465745.7481109602,1503187.2372316464,1559270.6056962982,1644707.8005102719,1752098.4888604083,1927684.9497163878,2110692.120336066,2268409.9318772205,2476844.696533124,2761026.9787174612,2924552.797073164,3084294.6104090125,3198126.3667164957,3285046.1752839559,3340259.51162103,3418268.0902679851,3492038.5286747161,3559245.7897511283,3633517.4451900269,3746892.8659479558,3881527.7725060568,3875293.5031528585,
3.4. Mosaic of Uses,4447446.8697557896,4328203.3159516165,3988570.1263610688,3707494.406150966,3540688.7428331021,3273505.0824194299,2609500.7094399547,2557636.2993327039,2510352.0919762379,2690984.7395077641,2818229.8475009361,2774542.6694660941,2814401.3200765727,2854787.2057822309,2889279.6577432998,2908812.3710233755,2991058.8710362855,3141627.8589871195,3462561.7845243653,3450851.3757143198,3277975.0680932766,3182372.5920137544,3259507.1412433409,3451383.2865215009,3580019.4052663418,3624028.3380691088,3713562.8835182516,3866956.4920863761,4068786.6292196894,4071228.5553670241,4039522.4912588922,4106519.5811433,4194478.2397239469,4453562.075732979,4958098.4035700141,5718850.9571591746,6442106.2679648977,7219614.0363028459,8348541.1617273875,9154995.5331867877,10461641.833225587,
4. Non vegetated area,_(* 1039626_),_(* 902413_),_(* 797852_),_(* 775092_),_(* 772832_),_(* 769561_),_(* 778304_),_(* 802231_),_(* 815757_),_(* 835479_),_(* 859607_),_(* 880793_),_(* 897309_),_(* 908945_),_(* 917815_),_(* 928301_),_(* 938519_),_(* 952096_),_(* 964530_),_(* 968189_),_(* 975576_),_(* 986484_),_(* 1000428_),_(* 1026384_),_(* 1050729_),_(* 1066230_),_(* 1081854_),_(* 1090225_),_(* 1110708_),_(* 1131514_),_(* 1145650_),_(* 1161518_),_(* 1176534_),_(* 1195551_),_(* 1219033_),_(* 1249030_),_(* 1279602_),_(* 1321395_),_(* 1371779_),_(* 1365516_),_(* 1337264_),
"4.1. Beach, Dune and Sand Spot",109585.95422251786,108177.43298132726,108633.50779221335,108330.458343796,107879.72436061324,108091.89062641771,108611.95608886024,112969.14805130947,113448.09821919973,109688.58803266671,109851.18970758852,113685.82130817496,115138.35437169664,113432.69675486126,110500.74973802756,109264.02805776367,109768.14161585169,110948.64873519454,111019.8839403302,110661.69655305467,110908.73939117024,111426.77037140695,111090.2474134959,111143.16857051698,112949.09450557083,114284.3128177075,115289.94797192882,117268.03181164047,117640.79602623911,116733.41374703801,116849.80807725752,116787.06138382705,115703.86343041452,113369.36051463765,112326.70430514641,111230.76301812522,111096.86409749924,110882.04111529895,112680.28356890532,111613.37049831523,110783.64039083474,
4.2. Urban Area,385497.89622639725,402777.50074681325,415002.49795008922,433128.63497284392,451814.68390097993,470788.83216034266,491546.85194472712,512267.63579974719,531957.40943089337,552486.01355665026,571726.34084460803,590079.88279360742,607965.1376810479,625677.98259671009,642821.27577178692,658068.90241421154,671356.24226719851,684059.65222363267,696876.15956372034,709048.35221437679,720300.75164779683,731897.14047562133,743262.50361137406,756392.56485923182,769854.82762225566,783641.77196269133,798507.80448338436,814773.94121548708,832147.96155991068,848708.34643829078,864069.09645821468,878555.81962961284,891780.96649473312,904130.42644988373,914687.13686831924,925885.45931602689,936547.07439147425,946770.3347748348,956284.03860415006,969595.07784908498,982902.43973243772,
4.3. Mining,10029.942305248969,14114.336077746959,16683.298669336138,17917.80982056295,18313.598658258226,20016.848204840193,21351.429937756333,22705.374803631526,23833.582086718743,25507.304810797094,26067.208896820172,26334.661919952516,26808.140760626215,27650.560812256001,28370.694489984297,28283.387800677709,27961.672504211747,28264.041221887477,29124.619484228904,30100.153009491478,30840.720848395282,31629.037503937216,32642.419729541365,33749.651841626161,34103.581421545481,35356.332117492806,36928.842636358648,37819.998072430673,38274.466709204207,39447.13800389423,40974.093701098849,41917.564965655998,42583.393439026266,43521.938030481331,44631.10222329168,49029.408983911722,51512.908793310882,53088.03483964847,54808.81296406858,57684.023399932485,61743.168990122307,
4.4. Photovoltaic Power Plant (beta),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568.89945122069992,1099.6613763732994,1826.1611729004157,3173.4688508361878,3400.0549966736207,4014.9119190918623,5648.7991438172412,8715.7272967163753,11787.768018945388,13889.692728344795,
4.5. Wind Farm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078.2938950012181,1302.4727925292948,1339.6214072814914,1507.4608180847147,1616.8041455200159,1668.2959228271454,1905.2939112548797,2005.4392060974096,2121.4218708984336,2180.2147830444301,
4.6. Other non Vegetated Areas,534513.18341741944,377343.80961013149,257533.2827248901,215715.80909006952,194824.64380089677,170664.04604309125,156794.58650407189,154289.43518098869,146518.70447823562,147797.83419799263,151963.04076563162,150692.7987424192,147398.33360355214,142184.60130835549,136123.15901802396,132685.62825689671,129433.14655828243,128824.52827572633,127510.04511174303,118378.87347488987,113526.3988414731,111531.21850781239,113433.46867211265,125099.0327799253,133821.97257084341,132948.35609788782,131127.43383525388,120363.67664345673,122645.50107817371,126625.40912526879,123757.87941687615,122610.47745775133,124064.49423638319,131363.97360088531,142707.8324760985,157868.05814364622,174762.77443192157,203100.96508233013,237285.64505984454,212714.53842983377,165765.69236021125,
5. Water,_(* 1522979_),_(* 1557185_),_(* 1544282_),_(* 1548841_),_(* 1551654_),_(* 1561662_),_(* 1599742_),_(* 1594117_),_(* 1581372_),_(* 1589439_),_(* 1578251_),_(* 1562551_),_(* 1650589_),_(* 1648560_),_(* 1637470_),_(* 1498754_),_(* 1475962_),_(* 1564154_),_(* 1593647_),_(* 1625365_),_(* 1639302_),_(* 1670470_),_(* 1676083_),_(* 1677475_),_(* 1680294_),_(* 1689455_),_(* 1712892_),_(* 1692958_),_(* 1629259_),_(* 1598020_),_(* 1574684_),_(* 1567139_),_(* 1558067_),_(* 1577101_),_(* 1595672_),_(* 1621050_),_(* 1617996_),_(* 1728443_),_(* 1763647_),_(* 1739108_),_(* 1719607_),
"5.1. River, Lake and Ocean",1522229.6222198312,1556415.4478032766,1543490.0999516251,1547967.5388142474,1550768.1104782294,1560766.1246208868,1598809.2189210099,1593196.4966850979,1580837.2225584127,1589414.0207966184,1578224.7765503335,1562506.0960553631,1650504.2872947063,1648402.7470237613,1637131.9362696612,1498313.1613441419,1475453.0775015512,1563570.4721534015,1593064.7832919231,1624751.3819385611,1638623.3081143727,1669775.4392189544,1675247.8021319667,1676515.1722593778,1679143.9780489318,1688127.6720967472,1711249.5325995339,1691043.9089383357,1627019.8790857699,1595513.5648562673,1571993.0408422188,1564097.154141699,1554700.8378530643,1573735.2927680791,1592612.0125162832,1618430.9220785743,1615440.8063433953,1725899.2913366978,1760881.3031554639,1736343.8964468434,1716567.0467529127,
5.2. Aquaculture,749.50171834715536,770.15044686278304,792.12186235960496,873.91799904783556,886.66804601439389,896.59016250000172,933.08674113769416,921.342383526611,535.05124096068766,25.856004846191404,26.539024572753924,45.712490155029315,85.293595605468752,157.67619779052743,338.12535540771563,440.97716773071363,509.30029244384934,583.59719622192574,582.31378848877137,614.37001165771471,679.09773137817376,694.63152372436502,835.79748218994132,960.18834468383875,1150.2667838378914,1327.5428829589878,1643.4189904357936,1915.0418819519048,2240.0917018493683,2506.865564648439,2691.7038771972698,3042.3123948059115,3367.1400842834487,3366.1854452941916,3060.6965020141647,2619.8104106750507,2555.8643834594741,2544.5974048217777,2766.6260980407737,2765.0152968689004,3040.3715452880874,
6. Not Observed,_(* 1596_),_(* 1574_),_(* 1510_),_(* 1461_),_(* 1412_),_(* 1351_),_(* 1301_),_(* 1252_),_(* 1202_),_(* 1138_),_(* 1070_),_(* 1047_),_(* 1008_),_(* 940_),_(* 887_),_(* 853_),_(* 799_),_(* 762_),_(* 718_),_(* 691_),_(* 669_),_(* 645_),_(* 626_),_(* 638_),_(* 636_),_(* 624_),_(* 584_),_(* 578_),_(* 570_),_(* 559_),_(* 557_),_(* 558_),_(* 564_),_(* 547_),_(* 524_),_(* 523_),_(* 511_),_(* 509_),_(* 497_),_(* 499_),_(* 493_),
Total Geral,_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),_(* 200439067_),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
